Player,Pos,Seasons,Indct,From,To,AP1,PB,St,G,Cmp,Patt,PYds,PTD,PLng,PInt,Sk,Ratt,Ryds,RTD,RLng,Rec,RcYds,RcTD,RcLng
Randy White\WhitRa00,DT,13,1994,1975,1988,7,9,11,209,,,,,,,,,,,,,,,
Henry Jordan\JordHe00,DT,12,1995,1957,1969,5,4,11,163,,,,,,,,,,,,,,,
John Randle\RandJo00,DT,13,2010,1990,2003,6,7,11,219,,,,,,,,,,,,,,,
Cortez Kennedy\KennCo00,DT,10,2012,1990,2000,3,8,8,167,,,,,,,,,,,,,,,
Warren Sapp\SappWa00,DT,12,2013,1995,2007,4,7,12,198,,,,,,,,,,,,4,39,2,18
Curley Culp\CulpCu00,DT,13,2013,1968,1981,1,6,11,179,,,,,,,,,,,,,,,
Don Hutson\HutsDo00,E,10,1963,1935,1945,8,4,8,116,1,11,38,1,38,2,,62,284,3,27,488,7991,99,92
Wayne Millner\MillWa20,E,9,1968,1936,1945,0,0,5,76,,,,,,,,14,62,0,8,124,1578,12,78
Elroy Hirsch\HirsEl00,E,11,1968,1946,1957,2,3,9,127,12,22,156,1,0,2,,207,687,3,51,387,7029,60,91
Pete Pihos\PihoPe00,E,8,1970,1947,1955,5,6,9,107,,,,,,,,9,-4,0,5,373,5619,61,66
Tom Fears\FearTo00,E,8,1970,1948,1956,1,1,6,87,,,,,,,,5,15,0,10,400,5397,38,80
Bill Hewitt\HewiBi20,E,11,1971,1932,1943,4,0,7,101,5,10,63,3,34,0,,8,36,1,29,103,1638,23,45
Raymond Berry\BerrRa00,E,12,1973,1955,1967,3,6,13,154,,,,,,,,,,,,631,9275,68,70
Dante Lavelli\LaveDa00,E,10,1975,1946,1956,0,3,11,123,,,,,,,,2,23,0,14,386,6488,62,72
Red Badgro\BadgRe20,E,9,1981,1927,1936,0,0,7,94,,,,,,,,,,,,35,560,7,13
Don Maynard\MaynDo00,E,15,1987,1958,1973,1,4,13,186,,,,,,,,24,70,0,14,633,11834,88,87
Ernie Nevers\NeveEr20,FB,5,1963,1926,1931,5,0,5,54,,,,,,,,0,0,38,0,,,,
Bronko Nagurski\NaguBr00,FB,13,1963,1930,1943,4,0,7,97,32,77,474,7,35,9,,633,2778,25,11,11,134,0,23
Clarke Hinkle\HinkCl20,FB,9,1964,1932,1941,4,3,9,113,26,54,316,0,23,5,,1171,3860,35,57,49,537,9,69
Ken Strong\StroKe20,FB,18,1967,1929,1947,3,0,8,131,20,52,380,6,0,5,,379,1228,24,2,22,254,7,0
Marion Motley\MotlMa00,FB,9,1968,1946,1955,2,1,7,105,0,3,0,0,0,0,,828,4720,31,76,85,1107,7,78
Joe Perry\PerrJo00,FB,15,1969,1948,1963,2,3,11,183,3,11,79,1,34,0,,1929,9723,71,78,260,2021,12,70
Jim Brown\BrowJi00,FB,8,1971,1957,1965,8,9,9,118,4,12,117,3,39,0,,2359,12312,106,80,262,2499,20,83
Jim Taylor\TaylJi00,FB,9,1976,1958,1967,1,5,9,132,,,,,,,,1941,8597,83,84,225,1756,10,41
Tuffy Leemans\LeemTu20,FB,7,1978,1936,1943,1,2,8,80,167,383,2318,25,50,32,,919,3132,17,75,28,422,3,50
John Henry Johnson\JohnJo02,FB,12,1987,1954,1966,0,4,8,143,2,5,25,2,15,1,,1571,6803,48,87,186,1478,7,53
Lance Alworth\AlwoLa00,FL,10,1978,1962,1972,6,7,10,137,1,2,-11,0,0,0,0,24,129,2,35,542,10266,85,85
Bobby Mitchell\MitcBo00,FL,10,1983,1958,1968,1,4,10,148,3,3,61,1,23,0,,513,2735,18,90,521,7954,65,99
Tommy McDonald\McDoTo00,FL,11,1998,1957,1968,0,6,9,152,2,2,21,1,11,0,,17,22,0,22,495,8410,84,91
Mike Michalske\MichMi20,G,10,1964,1927,1937,5,0,9,122,,,,,,,,,,,,,,,
Danny Fortmann\FortDa20,G,7,1965,1936,1943,6,3,8,86,,,,,,,,,,,,,,,
Walt Kiesling\KiesWa20,G,12,1966,1926,1938,1,0,7,125,,,,,,,,,,,,,,,
George Musso\MussGe20,G,11,1982,1933,1944,1,3,9,128,,,,,,,,,,,,,,,
Gene Upshaw\UpshGe00,G,14,1987,1967,1981,5,7,14,217,,,,,,,,,,,,,,,
Stan Jones\JoneSt01,G,12,1991,1954,1966,3,7,12,157,,,,,,,,,,,,,,,
John Hannah\HannJo00,G,12,1991,1973,1985,7,9,13,183,,,,,,,,,,,,,,,
Larry Little\LittLa00,G,13,1993,1967,1980,5,5,11,183,,,,,,,,,,,,,,,
Billy Shaw\ShawBi00,G,8,1999,1961,1969,5,8,8,119,,,,,,,,,,,,,,,
Tom Mack\MackTo00,G,12,1999,1966,1978,1,11,13,184,,,,,,,,,,,,,,,
Mike Munchak\MuncMi00,G,11,2001,1982,1993,2,9,11,159,,,,,,,,,,,,,,,
Joe DeLamielleure\DeLaJo01,G,12,2003,1973,1985,3,6,12,185,,,,,,,,,,,,,,,
Bruce Matthews\MattBr00,G,18,2007,1983,2001,7,14,19,296,,,,,,,,,,,,0,0,0,0
Gene Hickerson\HickGe00,G,15,2007,1958,1973,3,6,13,202,,,,,,,,,,,,,,,
Randall McDaniel\McDaRa00,G,13,2009,1988,2001,7,12,13,222,,,,,,,,2,1,0,1,1,2,1,2
Russ Grimm\GrimRu00,G,10,2010,1981,1991,3,4,9,140,,,,,,,,,,,,,,,
Larry Allen\AlleLa00,G,13,2013,1994,2007,6,11,13,203,,,,,,,,,,,,0,0,0,0
Will Shields\ShieWi00,G,13,2015,1993,2006,2,12,13,224,,,,,,,,,,,,1,4,0,4
Dick Stanfel\StanDi00,G,6,2016,1952,1958,5,5,7,73,,,,,,,,,,,,,,,
Jerry Kramer\KramJe00,G,10,2018,1958,1968,5,3,9,130,,,,,,,,,,,,,,,
Red Grange\GranRe20,HB,9,1963,1925,1934,2,0,2,96,24,71,346,10,0,10,,170,569,21,0,16,288,10,36
Steve Van Buren\VanBSt00,HB,7,1965,1944,1951,5,0,8,83,1,3,35,0,35,0,,1320,5860,69,70,45,523,3,50
Paddy Driscoll\DrisPa20,HB,9,1965,1920,1929,6,0,9,118,,,,,,,,0,0,25,0,0,0,4,0
George McAfee\McAfGe20,HB,10,1966,1940,1950,1,1,4,75,6,22,94,3,44,1,,341,1685,21,70,85,1359,11,65
Bill Dudley\DudlBi00,HB,11,1966,1942,1953,1,3,8,90,81,222,985,6,38,17,,765,3057,18,66,123,1383,18,80
